iter	Passed	Remaining
0	149	149168
1	156	78210
2	164	54755
3	172	42904
4	179	35764
5	187	31088
6	195	27699
7	203	25208
8	210	23156
9	217	21543
10	223	20115
11	230	18984
12	236	17972
13	243	17172
14	251	16516
15	258	15870
16	266	15403
17	272	14889
18	280	14471
19	287	14066
20	294	13722
21	301	13387
22	308	13096
23	316	12858
24	323	12613
25	331	12423
26	338	12215
27	347	12078
28	355	11902
29	364	11789
30	372	11639
31	381	11541
32	392	11488
33	399	11361
34	408	11261
35	416	11145
36	424	11054
37	432	10951
38	441	10877
39	448	10774
40	458	10733
41	467	10658
42	476	10596
43	484	10529
44	494	10499
45	502	10425
46	511	10374
47	519	10308
48	545	10586
49	553	10521
50	563	10489
51	574	10472
52	583	10428
53	596	10442
54	606	10429
55	615	10379
56	625	10355
57	634	10310
58	644	10282
59	654	10254
60	663	10210
61	673	10187
62	682	10147
63	692	10128
64	704	10127
65	715	10122
66	729	10152
67	743	10196
68	757	10221
69	768	10210
70	781	10226
71	795	10250
72	810	10287
73	821	10279
74	833	10280
75	844	10268
76	856	10261
77	866	10246
78	877	10227
79	890	10243
80	902	10242
81	916	10257
82	928	10254
83	941	10271
84	955	10284
85	967	10286
86	982	10312
87	996	10326
88	1009	10338
89	1023	10351
90	1037	10363
91	1051	10375
92	1062	10365
93	1073	10350
94	1087	10362
95	1101	10376
96	1115	10384
97	1128	10389
98	1141	10390
99	1154	10393
100	1168	10400
101	1182	10408
102	1193	10393
103	1204	10377
104	1216	10372
105	1227	10355
106	1238	10335
107	1250	10324
108	1261	10315
109	1274	10308
110	1287	10309
111	1300	10314
112	1315	10325
113	1326	10312
114	1338	10299
115	1350	10294
116	1363	10286
117	1375	10278
118	1385	10259
119	1397	10246
120	1408	10234
121	1419	10213
122	1431	10206
123	1442	10188
124	1452	10170
125	1464	10155
126	1474	10135
127	1483	10109
128	1495	10097
129	1506	10079
130	1517	10064
131	1528	10054
132	1539	10035
133	1549	10013
134	1562	10008
135	1573	9996
136	1584	9984
137	1597	9976
138	1609	9968
139	1622	9965
140	1633	9954
141	1646	9951
142	1661	9955
143	1673	9949
144	1685	9937
145	1698	9932
146	1710	9925
147	1723	9919
148	1735	9912
149	1747	9900
150	1760	9900
151	1774	9898
152	1785	9883
153	1797	9873
154	1810	9870
155	1822	9860
156	1833	9844
157	1843	9826
158	1857	9824
159	1871	9827
160	1887	9838
161	1901	9838
162	1916	9841
163	1929	9834
164	1943	9834
165	1957	9836
166	1972	9838
167	1987	9842
168	2002	9848
169	2016	9845
170	2028	9831
171	2041	9829
172	2054	9819
173	2066	9811
174	2079	9804
175	2092	9795
176	2105	9791
177	2119	9788
178	2133	9784
179	2145	9774
180	2157	9760
181	2169	9750
182	2181	9740
183	2193	9727
184	2205	9714
185	2216	9702
186	2228	9688
187	2239	9674
188	2252	9665
189	2263	9648
190	2273	9628
191	2284	9611
192	2294	9593
193	2304	9574
194	2317	9567
195	2331	9563
196	2342	9550
197	2357	9548
198	2369	9538
199	2383	9535
200	2398	9532
201	2412	9528
202	2424	9519
203	2436	9508
204	2452	9512
205	2466	9506
206	2479	9498
207	2492	9489
208	2504	9479
209	2516	9468
210	2530	9462
211	2544	9459
212	2556	9446
213	2568	9432
214	2580	9420
215	2590	9403
216	2601	9387
217	2613	9374
218	2625	9361
219	2635	9345
220	2648	9336
221	2661	9326
222	2672	9313
223	2683	9298
224	2697	9290
225	2710	9283
226	2722	9270
227	2733	9256
228	2746	9248
229	2760	9241
230	2774	9236
231	2786	9224
232	2800	9219
233	2815	9215
234	2829	9209
235	2842	9203
236	2856	9195
237	2868	9185
238	2881	9175
239	2895	9167
240	2908	9160
241	2924	9159
242	2939	9156
243	2953	9150
244	2965	9139
245	2979	9130
246	2991	9121
247	3004	9109
248	3016	9098
249	3028	9084
250	3041	9076
251	3055	9070
252	3066	9055
253	3076	9036
254	3088	9023
255	3099	9008
256	3110	8991
257	3121	8977
258	3132	8963
259	3143	8946
260	3156	8937
261	3169	8926
262	3181	8915
263	3193	8902
264	3204	8888
265	3215	8873
266	3227	8860
267	3240	8850
268	3252	8838
269	3264	8826
270	3279	8822
271	3293	8815
272	3307	8808
273	3319	8794
274	3330	8781
275	3344	8772
276	3356	8760
277	3370	8752
278	3384	8746
279	3398	8738
280	3412	8732
281	3424	8720
282	3438	8710
283	3451	8701
284	3462	8687
285	3472	8669
286	3484	8655
287	3495	8640
288	3505	8625
289	3518	8613
290	3529	8598
291	3539	8581
292	3549	8565
293	3559	8547
294	3571	8534
295	3584	8524
296	3597	8515
297	3609	8502
298	3621	8490
299	3634	8479
300	3646	8468
301	3658	8454
302	3669	8441
303	3682	8430
304	3695	8419
305	3707	8408
306	3719	8395
307	3730	8381
308	3741	8366
309	3753	8353
310	3763	8338
311	3774	8323
312	3784	8306
313	3796	8293
314	3807	8278
315	3818	8264
316	3830	8253
317	3843	8241
318	3855	8231
319	3869	8222
320	3882	8211
321	3895	8203
322	3909	8193
323	3921	8180
324	3933	8170
325	3946	8159
326	3960	8151
327	3973	8140
328	3986	8131
329	3997	8117
330	4010	8106
331	4023	8096
332	4036	8085
333	4048	8073
334	4061	8061
335	4075	8053
336	4089	8045
337	4103	8037
338	4116	8027
339	4130	8018
340	4146	8012
341	4159	8002
342	4172	7992
343	4185	7982
344	4200	7974
345	4213	7964
346	4226	7954
347	4238	7941
348	4250	7929
349	4261	7915
350	4274	7902
351	4285	7889
352	4296	7874
353	4306	7859
354	4317	7845
355	4328	7831
356	4339	7815
357	4352	7804
358	4362	7789
359	4372	7773
360	4384	7760
361	4395	7746
362	4405	7731
363	4417	7717
364	4428	7704
365	4439	7690
366	4450	7676
367	4462	7663
368	4472	7647
369	4483	7633
370	4493	7618
371	4504	7604
372	4516	7592
373	4528	7580
374	4540	7568
375	4553	7556
376	4566	7546
377	4578	7533
378	4589	7520
379	4601	7507
380	4612	7494
381	4624	7481
382	4636	7469
383	4650	7459
384	4663	7449
385	4679	7442
386	4694	7435
387	4707	7424
388	4719	7412
389	4733	7404
390	4746	7393
391	4760	7383
392	4773	7373
393	4786	7361
394	4798	7350
395	4811	7339
396	4823	7326
397	4834	7312
398	4846	7300
399	4857	7286
400	4867	7270
401	4879	7258
402	4889	7242
403	4899	7228
404	4910	7214
405	4921	7200
406	4932	7187
407	4944	7173
408	4954	7159
409	4964	7143
410	4975	7130
411	4987	7117
412	4997	7103
413	5009	7090
414	5019	7075
415	5029	7060
416	5040	7047
417	5051	7033
418	5061	7018
419	5072	7004
420	5082	6989
421	5094	6978
422	5104	6962
423	5114	6948
424	5126	6936
425	5139	6924
426	5150	6912
427	5162	6899
428	5174	6887
429	5185	6873
430	5196	6860
431	5207	6847
432	5220	6835
433	5233	6825
434	5246	6814
435	5261	6806
436	5276	6797
437	5289	6786
438	5303	6777
439	5319	6770
440	5407	6853
441	5451	6882
442	5484	6896
443	5500	6887
444	5516	6880
445	5532	6871
446	5545	6860
447	5558	6848
448	5571	6836
449	5583	6824
450	5598	6814
451	5614	6807
452	5627	6795
453	5640	6783
454	5654	6772
455	5668	6762
456	5681	6750
457	5694	6738
458	5708	6728
459	5722	6717
460	5737	6708
461	5751	6697
462	5765	6687
463	5778	6675
464	5798	6670
